🤠梁雨轩直播,#genre#
梁雨轩直播,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CTVThemeSong1.mp4
CrimeTV LIVE,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CTVThemeSong2.mp4
更新日期,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CRIMETVPV1.mkv
2026-03-28,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CRIMETVPV2.mkv
🇨🇳央视,#genre#
CCTV1,http://111.56.90.54/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225920/1.m3u8?fmt=ts2hls$梁雨轩•IPV4『线路1』
CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1$梁雨轩•IPV4『线路2』
CCTV1,http://t.061899.xyz/tl/dq.php?id=cctv1$梁雨轩•IPV4『线路3』
CCTV1,http://223.95.198.3:8000/hls/1/index.m3u8$梁雨轩•IPV4『线路4』
CCTV1,http://183.129.255.66:8480/hls/1/index.m3u8$梁雨轩•IPV4『线路5』
CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$梁雨轩•IPV4『线路6』
CCTV1,http://play.kankanlive.com/live/1698234869325962.m3u8$梁雨轩•IPV4『线路7』
CCTV1,http://120.211.62.180:8000/hls/1/index.m3u8$梁雨轩•IPV4『线路8』
CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8$梁雨轩•IPV4『线路9』
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8$梁雨轩•IPV4『线路10』
CCTV1,http://211.158.154.252:8010/rtp/225.0.4.74:7980$梁雨轩•IPV4『线路11』
CCTV1,http://113.120.108.132:4000/rtp/239.21.1.120:5002$梁雨轩•IPV4『线路12』
CCTV1,http://114.95.80.29:9001/rtp/233.18.204.52:5140$梁雨轩•IPV4『线路13』
CCTV1,http://115.171.216.84:4000/rtp/225.1.8.1:8008$梁雨轩•IPV4『线路14』
CCTV1,http://113.66.41.48:10000/rtp/239.77.0.86:5146$梁雨轩•IPV4『线路15』
CCTV1,http://111.193.239.94:8888/rtp/239.3.1.129:8008$梁雨轩•IPV4『线路16』
CCTV1,http://111.167.32.217:5002/rtp/225.1.1.120:5002$梁雨轩•IPV4『线路17』
CCTV1,http://171.8.84.159:8800/rtp/239.16.20.1:10010$梁雨轩•IPV4『线路18』
CCTV1,http://223.242.110.245:6688/rtp/238.1.78.166:7200$梁雨轩•IPV4『线路19』
CCTV1,http://180.119.69.98:8800/rtp/239.49.8.19:9614$梁雨轩•IPV4『线路20』
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2$梁雨轩•IPV4『线路1』
CCTV2,http://t.061899.xyz/tl/dq.php?id=cctv2$梁雨轩•IPV4『线路2』
CCTV2,http://223.95.198.3:8000/hls/2/index.m3u8$梁雨轩•IPV4『线路3』
CCTV2,http://183.129.255.66:8480/hls/2/index.m3u8$梁雨轩•IPV4『线路4』
CCTV2,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8$梁雨轩•IPV4『线路5』
CCTV2,https://play.kankanlive.com/live/1698234898628961.m3u8$梁雨轩•IPV4『线路6』
CCTV2,http://120.211.62.180:8000/hls/2/index.m3u8$梁雨轩•IPV4『线路7』
CCTV2,http://112.123.206.32:808/hls/2/index.m3u8$梁雨轩•IPV4『线路8』
CCTV2,http://183.11.239.36:808/hls/20/index.m3u8$梁雨轩•IPV4『线路9』
CCTV2,http://211.158.154.252:8010/rtp/225.0.4.132:7980$梁雨轩•IPV4『线路10』
CCTV2,http://113.120.108.132:4000/rtp/239.21.1.151:5002$梁雨轩•IPV4『线路11』
CCTV2,http://114.95.80.29:9001/rtp/233.18.204.68:5140$梁雨轩•IPV4『线路12』
CCTV2,http://115.171.216.84:4000/rtp/225.1.8.2:8084$梁雨轩•IPV4『线路13』
CCTV2,http://113.66.41.48:10000/rtp/239.77.0.137:5146$梁雨轩•IPV4『线路14』
CCTV2,http://111.193.239.94:8888/rtp/239.3.1.60:8084$梁雨轩•IPV4『线路15』
CCTV2,http://111.167.32.217:5002/rtp/225.1.1.133:5002$梁雨轩•IPV4『线路16』
CCTV2,http://171.8.84.159:8800/rtp/239.16.20.2:10020$梁雨轩•IPV4『线路17』
CCTV2,http://223.242.110.245:6688/rtp/238.1.78.235:7752$梁雨轩•IPV4『线路18』
CCTV2,http://180.119.69.98:8800/rtp/239.49.8.50:9802$梁雨轩•IPV4『线路19』
CCTV3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3$梁雨轩•IPV4『线路1』
CCTV3,http://t.061899.xyz/tl/dq.php?id=cctv3$梁雨轩•IPV4『线路2』
CCTV3,http://223.95.198.3:8000/hls/3/index.m3u8$梁雨轩•IPV4『线路3』
CCTV3,http://183.129.255.66:8480/hls/3/index.m3u8$梁雨轩•IPV4『线路4』
CCTV3,http://58.57.40.22:9901/tsfile/live/1002_1.m3u8$梁雨轩•IPV4『线路5』
CCTV3,http://gmxw.7766.org:808/hls/91/index.m3u8$梁雨轩•IPV4『线路6』
CCTV3,http://183.11.239.36:808/hls/91/index.m3u8$梁雨轩•IPV4『线路7』
CCTV3,http://112.46.85.60:8009/hls/3/index.m3u8$梁雨轩•IPV4『线路8』
CCTV3,https://piccpndali.v.myalicdn.com/audio/cctv3_2.m3u8$梁雨轩•IPV4『线路9』
CCTV3,http://211.158.154.252:8010/rtp/225.0.4.142:7980$梁雨轩•IPV4『线路10』
CCTV3,http://113.120.108.132:4000/rtp/239.21.2.45:5002$梁雨轩•IPV4『线路11』
CCTV3,http://114.95.80.29:9001/rtp/233.18.204.69:5140$梁雨轩•IPV4『线路12』
CCTV3,http://115.171.216.84:4000/rtp/225.1.8.88:8000$梁雨轩•IPV4『线路13』
CCTV3,http://113.66.41.48:10000/rtp/239.77.0.169:5146$梁雨轩•IPV4『线路14』
CCTV3,http://111.193.239.94:8888/rtp/239.3.1.172:8001$梁雨轩•IPV4『线路15』
CCTV3,http://111.167.32.217:5002/rtp/225.1.1.158:5002$梁雨轩•IPV4『线路16』
CCTV3,http://171.8.84.159:8800/rtp/239.16.20.3:10030$梁雨轩•IPV4『线路17』
CCTV3,http://223.242.110.245:6688/rtp/238.1.78.170:7232$梁雨轩•IPV4『线路18』
CCTV3,http://180.119.69.98:8800/rtp/239.49.8.74:8000$梁雨轩•IPV4『线路19』
CCTV4,http://111.56.90.51/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226340/1.m3u8?fmt=ts2hls$梁雨轩•IPV4『线路1』
